,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
146708,22-Mar-2015,20:13:57,2,-265.000000,,,0,7,-17.3201,146.6630,20:09:31.55 22-Mar-2015,FastGPS,-17.3201,146.6630,,,20.8,-0.4,,,,15,6,17143,,,41,7,14247,,,,10,10332,,,,20,14238,,,,1,6336,,,,17,4798,,,,30,10936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,23-Mar-2015,04:07:06,1,-266.000000,,,0,7,-17.4033,146.6871,04:02:39.67 23-Mar-2015,FastGPS,-17.4033,146.6871,,,20.2,-0.3,,,,15,13,18986,,,41,18,7116,,,,22,32719,,,,25,663,,,,5,9568,,,,21,29092,,,,29,30162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,25-Mar-2015,04:10:03,2,-273.000000,,,0,5,-17.1253,146.5856,04:05:29.08 25-Mar-2015,FastGPS,-17.1253,146.5856,,,6.4,-0.9,,,,15,18,6107,,,43,12,14558,,,,22,11461,,,,25,32004,,,,15,21400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,26-Mar-2015,08:24:49,2,-277.000000,,,0,7,-16.9676,146.5271,08:20:12.42 26-Mar-2015,FastGPS,-16.9676,146.5271,,,31.2,0.4,,,,15,27,19482,,,44,19,4966,,,,31,11765,,,,32,19363,,,,22,12300,,,,4,15860,,,,16,18588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,03-Apr-2015,05:48:07,1,-306.000000,,,0,4,-16.2718,146.1204,08:00:06 09-Apr-2015,NN,-16.5883,146.2816,,,0.6,0.5,,,,15,18,6594,,,39,21,11676,,,,27,23858,,,,15,20571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,06-Apr-2015,05:20:49,1,-317.000000,,,0,6,-16.6395,146.0583,05:15:32.19 06-Apr-2015,FastGPS,-16.6395,146.0583,,,10.8,0.2,,,,15,29,6446,,,44,16,15965,,,,27,13002,,,,18,16809,,,,14,4316,,,,15,21214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,11-Apr-2015,08:21:15,1,-336.000000,,,0,6,-16.3836,146.0342,08:15:38.68 11-Apr-2015,FastGPS,-16.3836,146.0342,,,4.4,-0.3,,,,15,19,5123,,,39,32,2966,,,,11,2553,,,,4,16070,,,,27,22166,,,,22,10842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,14-Apr-2015,04:17:19,1,-346.000000,,,0,4,-16.5293,146.2296,08:09:13 17-Apr-2015,NN,-16.6600,146.4438,,,2.3,0.2,,,,15,21,9203,,,40,16,29610,,,,25,26737,,,,14,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,15-Apr-2015,15:44:44,3,-352.000000,,,0,5,-16.8190,146.3988,15:38:53.78 15-Apr-2015,FastGPS,-16.8190,146.3988,,,2.3,1.8,,,,15,7,30196,,,41,30,15640,,,,9,4560,,,,20,32050,,,,5,8676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,16-Apr-2015,20:17:50,1,-356.000000,,,0,5,-16.6917,146.3453,20:11:55.05 16-Apr-2015,FastGPS,-16.6917,146.3453,,,4.3,1.0,,,,15,2,679,,,42,17,26483,,,,15,29626,,,,20,31950,,,,30,3064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
