,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
146708,14-Apr-2015,04:17:19,1,-346.000000,,,0,4,,,,,,,,,,,,,,15,21,9203,,,40,16,29610,,,,25,26737,,,,14,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,15-Apr-2015,15:44:44,3,-352.000000,,,0,5,,,,,,,,,,,,,,15,7,30196,,,41,30,15640,,,,9,4560,,,,20,32050,,,,5,8676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,16-Apr-2015,20:17:50,1,-356.000000,,,0,5,,,,,,,,,,,,,,15,2,679,,,42,17,26483,,,,15,29626,,,,20,31950,,,,30,3064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,18-Apr-2015,04:12:08,1,-361.000000,,,0,8,,,,,,,,,,,,,,15,14,3275,,,,16,5653,,,,22,22861,,,,27,6720,,,,26,31500,,,,29,23824,,,,15,26596,,,,25,2468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,24-Apr-2015,19:59:27,1,-385.000000,,,0,4,,,,,,,,,,,,,,15,17,12330,,,,6,7211,,,,2,27141,,,,30,20843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,26-Apr-2015,10:47:55,1,-391.000000,,,0,8,,,,,,,,,,,,,,15,9,8885,,,,31,24868,,,,1,31427,,,,4,31297,,,,26,7252,,,,32,24510,,,,7,28480,,,,11,13212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,28-Apr-2015,08:34:36,1,-398.000000,,,0,4,,,,,,,,,,,,,,15,22,17012,,,,23,6318,,,,32,30582,,,,4,10086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,05-May-2015,03:16:59,1,-423.000000,,,0,7,,,,,,,,,,,,,,15,15,27981,,,42,22,14709,,,,27,5339,,,,16,5249,,,,8,13818,,,,26,32416,,,,14,7836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,06-May-2015,21:44:24,2,-429.000000,,,0,6,,,,,,,,,,,,,,15,5,18115,,,40,20,10636,,,,24,29824,,,,10,27267,,,,15,32312,,,,6,13416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,07-May-2015,04:15:59,1,-430.000000,,,0,4,,,,,,,,,,,,,,15,29,31008,,,44,8,12688,,,,21,5725,,,,31,28341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
